ActionGeo_CountryCode,ActionGeo_FullName,ActionGeo_Lat,ActionGeo_Long,GLOBALEVENTID,SOURCEURL,SQLDATE,company,industry,sentiment,title,topic,domain
IN,India,20.0,77.0,501816821,http://economictimes.indiatimes.com/tech/ites/capgemini-appoints-srinivas-kandula-as-ceo-of-india-operations/articleshow/50561556.cms,20160113,capgemini,technology,,capgemini appoints srinivas kandula as ceo of india operations,operations,economictimes.indiatimes.com
IN,"New Delhi, Delhi, India",28.6,77.2,501824178,http://www.freepressjournal.in/capgemini-appoints-srinivas-kandula-to-head-india-operations/756888,20160113,capgemini,technology,,capgemini appoints srinivas kandula to head india operations,operations,www.freepressjournal.in
IN,India,20.0,77.0,502134544,http://bharatpress.com/2016/01/14/digital-is-a-fancy-word-but-it-business-will-remain-strong-capgemini-india-ceo-kandula/,20160114,capgemini,technology,,digital is a fancy word but it business will remain strong capgemini india ceo kandula,digital,bharatpress.com
NL,Netherlands,52.5,5.75,506735362,http://www.consultancy.uk/news/3235/mark-hofland-leads-capgemini-consulting-in-netherlands,20160129,capgemini,technology,,mark hofland leads capgemini consulting in netherlands,consulting,www.consultancy.uk
,,,,499579430,http://www.wallstreetscope.com/morning-stock-trends-infosys-limited-infy-mcdermott-international-inc-mdr-enerplus-corporation-erf-sm-energy-company-sm-hca-holdings-inc-hca/25560045/,20160105,infosys,technology,,morning stock trends infosys limited infy mcdermott international inc mdr enerplus corporation erf sm energy company sm hca holdings inc hca,energy,www.wallstreetscope.com
AS,"Melbourne, Victoria, Australia",-37.8167,144.967,503222054,http://www.afr.com/technology/young-australians-left-behind-in-the-digital-revolution-infosys-20160117-gm7vrp,20160118,infosys,technology,,young australians left behind in the digital revolution infosys 20160117 gm7vrp,vr,www.afr.com
AS,Australia,-27.0,133.0,503483788,http://www.zdnet.com/article/young-australians-are-ill-prepared-for-a-digital-economy-infosys/,20160119,infosys,technology,,young australians are ill prepared for a digital economy infosys,digital,www.zdnet.com
IN,"Bangalore, Karnataka, India",12.9833,77.5833,506379728,http://economictimes.indiatimes.com/tech/ites/infosys-parks-4-million-in-us-based-waterline-data-science/articleshow/50754284.cms,20160128,infosys,technology,,infosys parks 4 million in us based waterline data science,data,economictimes.indiatimes.com
US,"Delaware, United States",39.3498,-75.5148,506464225,http://thetechportal.in/2016/01/28/infosys-shows-love-data-science-acquires-stakes-us-based-waterline-4-million/,20160128,infosys,technology,,infosys shows love data science acquires stakes us based waterline 4 million,data,thetechportal.in
IN,India,20.0,77.0,500289995,http://www.biopharmadive.com/news/indias-cadila-to-snap-up-plant-animal-health-products-from-pfizer-spinoff/411642/,20160107,pfizer,health,,indias cadila to snap up plant animal health products from pfizer spinoff,health,www.biopharmadive.com
US,United States,38.0,-97.0,500473658,http://www.theblaze.com/the-wire/37662257/pfizer-enters-into-translational-research-collaboration-with-adaptive-biotechnologies-to-help-advance-novel-immuno-oncology-solutions/,20160108,pfizer,technology,,pfizer enters into translational research collaboration with adaptive biotechnologies to help advance novel immuno oncology solutions,iot,www.theblaze.com
,,,,500481604,http://www.finanznachrichten.de/nachrichten-2016-01/36082848-pfizer-collaborates-with-adaptive-to-advance-novel-immuno-oncology-solutions-020.htm,20160108,pfizer,health,,36082848 pfizer collaborates with adaptive to advance novel immuno oncology solutions 020.htm,oncology,www.finanznachrichten.de
US,"New York, United States",42.1497,-74.9384,500604291,http://newsdaily.com/2016/01/pfizer-hikes-u-s-prices-for-over-100-drugs-on-january-1/,20160108,pfizer,health,,pfizer hikes u s prices for over 100 drugs on january 1,drug,newsdaily.com
US,"New York, United States",42.1497,-74.9384,500632153,http://www.msn.com/en-us/money/companies/pfizer-hiked-us-prices-for-more-than-100-drugs-on-jan-1/ar-CCiQd6,20160109,pfizer,health,,pfizer hiked us prices for more than 100 drugs on jan 1,drug,www.msn.com
EI,Ireland,53.0,-8.0,500657801,http://www.therakyatpost.com/business/2016/01/09/pfizer-drug-prices-up-almost-20/,20160109,pfizer,health,,pfizer drug prices up almost 20,drug,www.therakyatpost.com
EI,Ireland,53.0,-8.0,500829439,http://www.benchmarkreporter.com/pfizer-inc-nysepfe-bolster-u-s-prices-of-nearly-100-drugs-in-2016/11401/,20160110,pfizer,health,,pfizer inc nysepfe bolster u s prices of nearly 100 drugs in 2016,drug,www.benchmarkreporter.com
EI,Ireland,53.0,-8.0,500991075,http://sleekmoney.com/pfizer-increased-prices-in-u-s-for-more-than-100-drugs/838859/,20160110,pfizer,health,,pfizer increased prices in u s for more than 100 drugs,drug,sleekmoney.com
US,"New York, United States",42.1497,-74.9384,501007971,http://www.businessinsider.com/r-pfizer-hikes-us-prices-for-over-100-drugs-on-january-1-2016-1,20160110,pfizer,health,,r pfizer hikes us prices for over 100 drugs on january 1 2016 1,drug,www.businessinsider.com
,,,,501196046,http://www.zenopa.com/news/801809670/pfizer-and-adaptive-biotechnologies-announce-new-collaboration,20160111,pfizer,technology,,pfizer and adaptive biotechnologies announce new collaboration,iot,www.zenopa.com
EI,"Dublin, Dublin, Ireland",53.3331,-6.24889,501860725,http://www.todayonline.com/business/pfizer-allergan-say-combined-drug-pipeline-underappreciated,20160113,pfizer,health,,pfizer allergan say combined drug pipeline underappreciated,drug,www.todayonline.com
EI,"Dublin, Dublin, Ireland",53.3331,-6.24889,502062508,http://www.republikein.com.na/gesondheid/pfizer-allergan-say-combined-drug-pipeline-underappreciated.262971,20160114,pfizer,health,,pfizer allergan say combined drug pipeline underappreciated.262971,drug,www.republikein.com.na
US,"New York, United States",42.1497,-74.9384,502082099,http://www.ieyenews.com/wordpress/pfizer-raised-the-price-of-over-100-drugs-this-year/,20160114,pfizer,health,,pfizer raised the price of over 100 drugs this year,drug,www.ieyenews.com
CH,China,35.0,105.0,502239741,http://www.benzinga.com/news/16/01/6143047/pfizer-announces-acquisition-of-top-chinese-healthcare-brand-considering-sale-of-,20160114,pfizer,health,,pfizer announces acquisition of top chinese healthcare brand considering sale of ,health,www.benzinga.com
,,,,502620349,http://www.hngn.com/articles/169939/20160115/pfizer-weighing-hospira-sale-drug-giant-allegedly-considering-2-billion.htm,20150115,pfizer,health,,pfizer weighing hospira sale drug giant allegedly considering 2 billion.htm,drug,www.hngn.com
SZ,"Davos, Switzerland (general), Switzerland",46.8167,9.83333,504320802,http://wraltechwire.com/gsk-pfizer-merck-join-drug-industry-government-alliance-to-fight-superbugs/15256778/,20160121,pfizer,health,,gsk pfizer merck join drug industry government alliance to fight superbugs,drug,wraltechwire.com
IT,Italy,42.8333,12.8333,504356195,http://www.marketwatch.com/story/philogen-announces-exercise-of-options-within-the-license-agreement-with-pfizer-inc-for-the-development-and-potential-commercialization-of-multiple-antibody-drug-conjugates-adcs-and-targeted-technologies-2016-01-21,20160121,pfizer,health,,philogen announces exercise of options within the license agreement with pfizer inc for the development and potential commercialization of multiple antibody drug conjugates adcs and targeted technologies 2016 01 21,drug,www.marketwatch.com
SZ,"Davos, Switzerland (general), Switzerland",46.8167,9.83333,504459265,http://economictimes.indiatimes.com/news/international/business/at-davos-global-drug-makers-like-novartis-roche-pfizer-others-call-for-action-on-superbugs/articleshow/50676263.cms,20160121,pfizer,health,,at davos global drug makers like novartis roche pfizer others call for action on superbugs,drug,economictimes.indiatimes.com
UK,"London, London, City of, United Kingdom",51.5,-0.116667,505380556,http://world.einnews.com/pr_news/308023569/pfizer-to-give-a-keynote-address-on-reviving-covalent-drug-design-in-oncology-at-smi-s-15th-annual-event-this-february,20160125,pfizer,health,,pfizer to give a keynote address on reviving covalent drug design in oncology at smi s 15th annual event this february,drug,world.einnews.com
UK,"London, London, City of, United Kingdom",51.5,-0.116667,505392140,http://brazilbusiness.einnews.com/pr_news/308023569/pfizer-to-give-a-keynote-address-on-reviving-covalent-drug-design-in-oncology-at-smi-s-15th-annual-event-this-february,20160125,pfizer,health,,pfizer to give a keynote address on reviving covalent drug design in oncology at smi s 15th annual event this february,drug,brazilbusiness.einnews.com
